DateTime,Entries,UniqueIPs
1642868431,6509,6536
1642869149,6509,6536
1642869870,6508,6535
1642870590,6503,6531
1642871307,6504,6532
1642872029,6503,6531
1642872748,6500,6528
1642873468,6493,6521
1642874188,6490,6518
1642875185,6492,6520
1642875871,6494,6522
1642876592,6493,6521
1642877308,6494,6522
1642878042,6485,6513
1642878748,6488,6516
1642879473,6489,6517
1642880213,6490,6518
1642880915,6489,6517
1642881640,6489,6517
1642882348,6491,6519
1642883074,6487,6515
1642883791,6487,6515
1642884512,6484,6512
1642885235,6490,6518
1642885950,6488,6515
1642886670,6490,6517
1642887394,6490,6517
1642888108,6487,6514
1642889076,6487,6514
1642889788,6489,6516
1642890511,6489,6516
1642891229,6489,6516
1642891947,6491,6518
1642892673,6486,6513
1642893392,6489,6516
1642894108,6491,6518
1642894832,6486,6513
1642895552,6488,6515
1642896278,6487,6514
1642896994,6484,6511
1642897708,6489,6516
1642898671,6480,6507
1642899389,6484,6511
1642900110,6483,6510
1642900832,6485,6512
1642901547,6479,6506
1642902269,6473,6500
1642902991,6478,6505
1642903708,6482,6509
1642904672,6469,6496
1642905388,6479,6506
1642906111,6470,6497
1642906842,6463,6490
1642908269,6462,6489
1642908989,6465,6492
1642909709,6470,6497
1642910441,6471,6498
1642911149,6470,6497
1642911871,6471,6498
1642912594,6472,6499
1642913310,6475,6502
1642914041,6478,6505
1642914751,6475,6502
1642915472,6481,6508
1642916435,6480,6507
1642917149,6482,6509
1642917874,6483,6510
1642918587,6486,6513
1642919309,6485,6512
1642920272,6489,6516
1642920989,6489,6516
1642921952,6492,6519
1642922672,6491,6518
1642923391,6497,6524
1642924110,6494,6521
1642924840,6489,6516
1642925548,6488,6515
1642926515,6489,6516
1642927229,6492,6519
1642927954,6485,6512
1642928678,6483,6510
1642929388,6488,6515
1642930351,6487,6514
1642931070,6490,6517
1642931794,6489,6516
1642932508,6487,6514
1642933231,6486,6513
1642934193,6485,6512
1642934907,6482,6509
1642935636,6484,6511
1642936349,6483,6510
